Checking Euc10 1000000 random points, query radius = 1.0 pivots = 200
diagonal_distance	lidim	count	piv iDIM	count
0.57	9.365424459954676	171748	2.823182091503049	200
0.58	9.202400880701529	183691	2.806755184029834	200
0.59	9.03222760477369	195943	2.790412166583376	200
0.6	8.864599860085791	208673	2.7741550708666454	200
0.61	8.698632175364319	221845	2.757985988506033	200
0.62	8.538945568223758	235573	2.741907072817577	200
0.63	8.37924905740776	249691	2.7259205406085627	200
0.64	8.221061441594065	264212	2.7100286740138433	200
0.65	8.059425839374533	278934	2.6942338223659457	200
0.66	7.9057752791478615	294223	2.6785384040980773	200
0.67	7.754787963350056	309901	2.6629449086790773	200
0.68	7.608225426344744	326021	2.6474558985792283	200
0.69	7.462254789211555	342409	2.6320740112659204	200
0.7	7.322230608902071	359290	2.6168019612281173	200
0.71	7.178879590515527	376193	2.6016425420286726	200
0.72	7.038740009700851	393388	2.586598628383608	200
0.73	6.899120302705639	410701	2.5716731782677105	200
0.74	6.76111599007697	428141	2.556869235045964	200
0.75	6.631364954146814	446123	2.542189929630759	200
0.76	6.493224190368176	463501	2.527638482665207	200
0.77	6.361729603975005	481235	2.513218206733506	200
0.78	6.23016954347678	498802	2.4989325085999345	200
0.79	6.101565118348	516401	2.4847848914789856	200
0.8	5.977604085719406	534158	2.4707789573401895	200
0.81	5.854220302941709	551701	2.456918409252311	200
0.82	5.736375610841456	569460	2.4432070537731865	200
0.83	5.618320719824608	586863	2.429648803393026	200
0.84	5.502918812713657	604149	2.416247679040992	200
0.85	5.387818219825722	621015	2.4030078126669356	200
0.86	5.2755724888449445	637718	2.38993344991267	200
0.87	5.1654753219666665	654143	2.3770289528897206	200
0.88	5.058211601744137	670367	2.36429880308339	200
0.89	4.952190107504753	686143	2.3517476044060523	200
0.9	4.848704115985422	701630	2.3393800864258076	200
0.91	4.747270446045898	716736	2.327201107799977	200
0.92	4.648096425064964	731473	2.3152156599463103	200
0.93	4.55054572613952	745718	2.30342887098809	200
0.94	4.454854440989555	759491	2.291846010012656	200
0.95	4.36125998666699	772809	2.280472491685767	200
0.96	4.270872146311587	785875	2.2693138812669686	200
0.97	4.182430180585295	798463	2.258375900073368	200
0.98	4.095876794414346	810552	2.2476644314408056	200
0.99	4.010671311458989	822020	2.2371855272325942	200
1	3.9276783343601815	833030	2.2269454149460586	200
1.01	3.8469333121022604	843608	2.216950505466781	200
1.02	3.769170715391218	853914	2.207207401518944	200
1.03	3.6928984732973387	863638	2.1977229068581052	200
1.04	3.6181785938099864	872783	2.1885040362497485	200
1.05	3.5456561683239207	881509	2.1795580262735017	200
1.06	3.4751939908009115	889799	2.1708923469888513	200
1.07	3.407086921863888	897750	2.1625147144941113	200
1.08	3.3405315465513254	905161	2.154433104406166	200
1.09	3.276362036668354	912282	2.1466557662848587	200
1.1	3.2143093565934007	919062	2.1391912390229373	200
1.11	3.153853915933534	925373	2.132048367220453	200
1.12	3.094739211825282	931149	2.1252363185621292	200
1.13	3.0375482162578873	936578	2.1187646022173547	200
1.14	2.982241912773298	941678	2.1126430882856004	200
1.15	2.9289506064840847	946509	2.1068820283152387	200
1.16	2.877316696628601	950990	2.1014920769310033	200
1.17	2.827399039872731	955150	2.0964843146146013	200
1.18	2.7791327797004444	959003	2.0918702716940993	200
1.19	2.7326950529497984	962637	2.0876619536105325	200
1.2	2.6878463919334146	965995	2.083871867544144	200
1.21	2.6446558010413663	969119	2.080513050498072	200
1.22	2.6025506445466275	971837	2.0775990989535753	200
1.23	2.562196112287237	974390	2.0751442002283724	200
1.24	2.5233383190871788	976730	2.073163165688906	200
1.25	2.486154052073817	978926	2.0716714659888935	200
1.26	2.4502225766269032	980887	2.0706852685317907	200
1.27	2.4156295308473528	982616	2.0702214773854712	200
1.28	2.3826014606402213	984259	2.070297775915357	200
1.29	2.350990553710444	985769	2.070932672449939	200
1.3	2.320812574238779	987177	2.0721455493518675	200
1.31	2.2918547622918775	988423	2.0739567159408487	200
1.32	2.2642370064762503	989562	2.076387465802136	200
1.33	2.2377498707725922	990525	2.07946013911645	200
1.34	2.2125708989820234	991445	2.083198190762325	200
