Distance,IDIM,LOCAL_COUNT,PIV_IDIM,PIV_COUNT
2.6,2.172562946,999500,2.882431292,500
2.61,2.180975775,999500,2.881390449,500
2.62,2.167589258,999500,2.880683366,500
2.63,2.154616322,999500,2.880311565,500
2.64,2.142048617,999500,2.880276575,500
2.65,2.129878034,999500,2.880579939,500
2.66,2.118096694,999500,2.881223214,500
2.67,2.106696935,999500,2.882207966,500
2.68,2.095671313,999500,2.883535776,500
2.69,2.085012584,999500,2.885208233,500
2.7,2.074713706,999500,2.887226941,500
2.71,2.064767824,999500,2.889593517,500
2.72,2.055168268,999500,2.892309585,500
2.73,2.045908546,999500,2.895376786,500
2.74,2.036982335,999500,2.89879677,500
2.75,2.028383477,999500,2.902571199,500
2.76,2.020105974,999500,2.906701747,500
2.77,2.01214398,999500,2.911190101,500
2.78,2.004491798,999500,2.916037956,500
2.79,1.997143872,999500,2.921247023,500
2.8,1.990094786,999500,2.926819021,500
2.81,1.983339255,999500,2.932755683,500
2.82,1.976872124,999500,2.939058752,500
2.83,1.970688361,999500,2.945729982,500
2.84,1.964783056,999500,2.952771142,500
2.85,1.959151412,999500,2.960184007,500
2.86,1.953788746,999500,2.967970368,500
2.87,1.948690483,999500,2.976132026,500
2.88,1.943852152,999500,2.984670793,500
2.89,2.196967786,999499,2.993588493,500
2.9,2.197232293,999499,3.002886962,500
2.91,2.197729413,999499,3.012568046,500
2.92,2.198457651,999499,3.022633605,500
2.93,2.197630169,999499,3.033085509,500
2.94,2.190968523,999499,3.041307933,500
2.95,2.18463751,999499,3.028705594,500
2.96,2.178630096,999499,3.016679448,500
2.97,2.172939452,999499,3.005215118,500
2.98,2.16755894,999499,2.994298709,500
2.99,2.162482109,999499,2.983916792,500
3,2.157702688,999499,2.974056381,500
3.01,2.153214578,999499,2.964704915,500
3.02,2.149011845,999499,2.955850238,500
3.03,2.145088716,999499,2.947480587,500
3.04,2.141439573,999499,2.939584571,500
3.05,2.138058945,999499,2.932151156,500
3.06,2.134941504,999499,2.925169655,500
3.07,2.132082062,999499,2.918629707,500
3.08,2.129475561,999499,2.912521272,500
3.09,2.127117076,999499,2.90683461,500
3.1,2.223515204,999498,2.901560275,500
3.11,2.221542204,999498,2.896689102,500
3.12,2.21981779,999498,2.892212194,500
3.13,2.218337244,999498,2.888120916,500
3.14,2.216885838,999498,2.884406882,500
3.15,2.21559482,999498,2.881061943,500
3.16,2.214538348,999498,2.878078186,500
3.17,2.229032581,999496,2.875447918,500
3.18,2.274423281,999495,2.873163661,500
3.19,2.278224715,999495,2.871218144,500
3.2,2.282216393,999495,2.869604294,500
3.21,2.295880758,999494,2.868315233,500
3.22,2.320685864,999490,2.867344265,500
3.23,2.329278705,999489,2.866684875,500
3.24,2.348946399,999486,2.866330721,500
3.25,2.371983072,999482,2.866275625,500
3.26,2.389085213,999476,2.866513573,500
3.27,2.411938327,999470,2.867038706,500
3.28,2.433933974,999466,2.867845313,500
3.29,2.454850379,999462,2.868927832,500
3.3,2.478559938,999457,2.870280838,500
3.31,2.499092355,999446,2.871899044,500
3.32,2.52537384,999429,2.873777295,500
3.33,2.548647264,999422,2.875910562,500
3.34,2.574231727,999406,2.87829394,500
3.35,2.602513973,999388,2.880922643,500
3.36,2.627873817,999369,2.883792002,500
3.37,2.656385106,999341,2.886897459,500
3.38,2.686790817,999312,2.890234565,500
3.39,2.715953143,999281,2.893798976,500
3.4,2.745646694,999252,2.897586451,500
3.41,2.776987214,999219,2.901592848,500
3.42,2.810382149,999160,2.905814122,500
3.43,2.843107624,999109,2.91024632,500
3.44,2.87741154,999046,2.914885581,500
3.45,2.912959263,998974,2.919728131,500
3.46,2.949571771,998894,2.924770284,500
3.47,2.987321841,998803,2.930008434,500
3.48,3.026777136,998709,2.935439058,500
3.49,3.066636399,998589,2.941058711,500
3.5,3.107803557,998442,2.946864026,500
3.51,3.150577104,998259,2.952851708,500
3.52,3.19428266,998082,2.959018536,500
3.53,3.239536616,997873,2.96536136,500
3.54,3.286092219,997632,2.971877096,500
3.55,3.334446019,997369,2.978562729,500
3.56,3.384080305,997037,2.985415309,500
3.57,3.435206437,996667,2.992431949,500
3.58,3.487947986,996268,2.999609823,500
3.59,3.542307315,995829,3.006946167,500
3.6,3.59850845,995320,3.014438272,500
3.61,3.656728536,994787,3.02208349,500
3.62,3.716489051,994119,3.029879227,500
3.63,3.778251668,993409,3.037822942,500
3.64,3.841499398,992537,3.045912151,500
3.65,3.90717414,991638,3.054144417,500
3.66,3.974920101,990632,3.062517355,500
3.67,4.044762295,989478,3.071028632,500
3.68,4.116435808,988150,3.079675958,500
3.69,4.190956465,986819,3.088457093,500
3.7,4.267306889,985214,3.097369842,500
3.71,4.346544145,983563,3.106412056,500
3.72,4.427925842,981669,3.115581626,500
3.73,4.511864885,979583,3.124876489,500
3.74,4.598383059,977331,3.134294622,500
3.75,4.68779121,974890,3.143834043,500
3.76,4.779874287,972215,3.149602177,500
3.77,4.873879184,969125,3.153436406,500
3.78,4.971301675,965881,3.157429181,500
3.79,5.072086289,962464,3.161576858,500
3.8,5.175718728,958727,3.165875901,500
3.81,5.282485165,954695,3.170322875,500
3.82,5.392712154,950404,3.174914447,500
3.83,5.505384414,945642,3.179647378,500
3.84,5.621119717,940508,3.184518523,500
3.85,5.739861586,934958,3.189524826,500
3.86,5.862516657,929119,3.194663318,500
3.87,5.989042821,922958,3.199931111,500
3.88,6.117710776,916182,3.2053254,500
3.89,6.250514787,909092,3.210843456,500
3.9,6.388450718,901782,3.216482627,500
3.91,6.528050256,893739,3.222240332,500
3.92,6.671140959,885242,3.22811406,500
3.93,6.817580988,876234,3.23410137,500
