Distance,IDIM
2.2,20.19696326
2.21,20.72497528
2.22,21.26981789
2.23,21.83972008
2.24,22.42512553
2.25,23.03759688
2.26,23.67314619
2.27,24.32942036
2.28,25.01461028
2.29,25.7172726
2.3,26.44623142
2.31,27.20681636
2.32,27.98711359
2.33,28.80129494
2.34,29.64007701
2.35,30.50516311
2.36,31.40191559
2.37,32.33299792
2.38,33.28691682
2.39,34.27837323
2.4,35.29244606
2.41,36.33454488
2.42,37.40810563
2.43,38.5202513
2.44,39.66739217
2.45,40.84538843
2.46,42.06200764
2.47,43.30301429
2.48,44.59321596
2.49,45.89873059
2.5,47.2525627
2.51,48.63883292
2.52,50.05434841
2.53,51.52164833
2.54,53.03688218
2.55,54.58148274
2.56,56.1665344
2.57,57.78520212
2.58,59.46738406
2.59,61.18063686
2.6,62.93451033
2.61,64.75563399
2.62,66.60207048
2.63,68.4803548
2.64,70.41099353
2.65,72.38201378
2.66,74.40451773
2.67,76.46236844
2.68,78.55448234
2.69,80.71346641
2.7,82.89515515
2.71,85.10044597
2.72,87.35280492
2.73,89.60557775
2.74,91.88868806
2.75,94.25799735
2.76,96.62878079
2.77,99.02622801
2.78,101.4631701
2.79,103.9437407
2.8,106.4313824
2.81,108.9238758
2.82,111.4601301
2.83,114.0725568
2.84,116.6731035
2.85,119.3528389
2.86,122.129345
2.87,125.0987119
2.88,128.2159492
2.89,131.3769154
2.9,134.6672961
2.91,137.9147285
2.92,140.9580375
2.93,143.8847475
2.94,146.924456
2.95,149.9266243
2.96,152.9909745
2.97,156.0851956
2.98,159.2894862
2.99,162.7832145
3,165.8310177
3.01,168.3167529
3.02,171.3760805
3.03,174.9144532
3.04,178.6411725
3.05,182.086867
3.06,183.9719942
3.07,186.8235549
3.08,191.7970116
3.09,196.528171
3.1,200.4814757
3.11,204.9174729
3.12,210.8186445
3.13,214.9968182
3.14,216.8792447
3.15,220.9329828
3.16,225.3757933
